2738479,2021-May-31 08:14:54,5zwra.wam,AIR,EARTH,FIRE,SWAMP,-,1,280000
2735479,2021-May-31 08:10:28,5zwra.wam,EARTH,EARTH,EARTH,SWAMP,-,1,280000
2733458,2021-May-31 08:07:35,5zwra.wam,FIRE,FIRE,FIRE,SWAMP,-,1,280000
2730829,2021-May-31 08:03:45,5zwra.wam,AIR,AIR,AIR,SWAMP,-,1,280000
2727605,2021-May-31 07:59:09,helphycrypto,AIR,PAINT,PRESS,STEEL,-,1,3820000
2724222,2021-May-31 07:54:28,zzzyphyrssa1,EARTH,EARTHQ,FLOOD,PRESS,-,1,310000
2696914,2021-May-31 07:07:28,frzau.wam,BATTERY,GLASS,PLASMA,TNPLT,-,1,5530000
2696592,2021-May-31 07:06:55,zeddyryanwax,GARBAGE,GARBAGE,GARBAGE,PLANT,-,1,280000
2652898,2021-May-31 06:04:18,jd3qy.wam,BATTERY,BULB,GLASS,TNPLT,FLSHLGH,63,8050000
2652756,2021-May-31 06:04:05,waxkingluffy,BATTERY,BULB,LENS,TNPLT,-,1,8590000
2650615,2021-May-31 06:00:21,hq3r2.wam,PAINT,PAINT,PAPER,PENCIL,PAINTNG,16,11260000
2650550,2021-May-31 06:00:11,eq3aw.wam,GRPHITE,SALT,TNPLT,WATER,-,1,1210000
2649796,2021-May-31 05:58:43,jd3qy.wam,ELECTRC,ELECTRC,GRPHITE,GRPHITE,BATTERY,391,3520000
2649311,2021-May-31 05:57:18,tvvbg.wam,ENERGY,GRPHITE,STEEL,TNPLT,-,1,2140000
2648951,2021-May-31 05:56:02,vaaaaaaaaaan,PAPER,PAPER,PAPER,PENCIL,BOOK,130,6400000
2648721,2021-May-31 05:54:54,vaaaaaaaaaan,GRPHITE,GRPHITE,KNIFE,TREE,PENCIL,219,5290000
2648149,2021-May-31 05:51:54,xqjam.wam,GRPHITE,METAL,SALT,WATER,-,2,1090000
2648118,2021-May-31 05:51:45,335aw.wam,AIR,PIPE,WATER,WATER,-,1,5320000
2647896,2021-May-31 05:50:45,eqxo.wam,GRPHITE,GRPHITE,GRPHITE,TREE,-,1,1810000
2647734,2021-May-31 05:49:50,qjjqu.wam,CLAY,GRPHITE,KNIFE,TREE,-,1,5590000
2647658,2021-May-31 05:49:22,uleaw.wam,EARTH,FIRE,GRPHITE,WATER,-,1,370000
2647560,2021-May-31 05:48:48,frzau.wam,ELECTRC,GRPHITE,METAL,STEEL,-,1,3400000
2647540,2021-May-31 05:48:42,tf3qu.wam,CLAY,GRPHITE,TREE,WATER,-,3,1780000
2647244,2021-May-31 05:47:15,vaaaaaaaaaan,GRPHITE,KNIFE,TREE,TREE,-,1,5740000
2647134,2021-May-31 05:46:42,eq3aw.wam,GRPHITE,MIRROR,SALT,WATER,-,1,4870000
2647108,2021-May-31 05:46:35,3luqy.wam,GRPHITE,TREE,TREE,TREE,-,1,2710000
2646739,2021-May-31 05:45:39,eqxo.wam,GRPHITE,GRPHITE,TREE,TREE,-,1,2260000
2636824,2021-May-31 05:30:26,jd3qy.wam,ELECTRC,GRPHITE,STEEL,TNPLT,-,1,3520000
2636468,2021-May-31 05:27:09,gkbdu.wam,EARTH,EARTH,EARTH,EXPLOSN,GRPHITE,1768,340000
2636408,2021-May-31 05:23:39,gkbdu.wam,AIR,AIR,EXPLOSN,STONE,-,1,430000
2636271,2021-May-31 05:17:45,vaaaaaaaaaan,AIR,ALCOHOL,ALCOHOL,ALCOHOL,-,1,580000
2636270,2021-May-31 05:17:22,vaaaaaaaaaan,AIR,AIR,ALCOHOL,ALCOHOL,-,1,400000
2636269,2021-May-31 05:17:20,gkbdu.wam,AIR,AIR,COAL,ENERGY,-,1,340000
2636257,2021-May-31 05:16:27,vaaaaaaaaaan,AIR,AIR,AIR,ALCOHOL,-,1,220000
2636247,2021-May-31 05:14:10,lbaba.wam,COAL,DUST,FIRE,PRESS,-,1,370000
2636199,2021-May-31 04:59:57,gkbdu.wam,COAL,FIRE,STEAM,WATER,-,1,340000
2636182,2021-May-31 04:57:48,3b1aw.wam,COAL,COAL,ENERGY,FIRE,-,1,610000
2636180,2021-May-31 04:57:29,gkbdu.wam,COAL,STEAM,STEAM,WATER,-,1,370000
2636133,2021-May-31 04:50:20,gkbdu.wam,COAL,STEAM,WATER,WATER,-,1,340000
2636125,2021-May-31 04:49:36,lbaba.wam,HEAT,HEAT,METAL,SAND,-,1,1210000
2636044,2021-May-31 04:42:02,vaaaaaaaaaan,ALCOHOL,ALCOHOL,ALCOHOL,PRESS,-,1,610000
2635954,2021-May-31 04:37:34,vaaaaaaaaaan,ALCOHOL,METAL,PRESS,PRESS,-,1,940000
2635945,2021-May-31 04:37:04,vaaaaaaaaaan,AIR,ALCOHOL,METAL,PRESS,-,1,910000
2635901,2021-May-31 04:34:18,vaaaaaaaaaan,ALCOHOL,ALCOHOL,PRESS,STEEL,-,1,1390000
2635898,2021-May-31 04:33:20,gkbdu.wam,AIR,COAL,STEAM,WATER,-,1,340000
2635868,2021-May-31 04:30:15,gkbdu.wam,AIR,AIR,COAL,STEAM,-,1,340000
2635820,2021-May-31 04:25:48,gkbdu.wam,COAL,HEAT,MUD,STEAM,-,1,400000
2635651,2021-May-31 04:07:23,unfr.wam,COAL,ENERGY,ENERGY,GEYSER,-,1,550000
2635594,2021-May-31 04:02:59,teubg.wam,HEAT,HEAT,HEAT,LIFE,-,1,400000
2635432,2021-May-31 03:57:32,4y4qy.wam,COAL,FIRE,HEAT,WATER,-,1,340000
2635160,2021-May-31 03:52:15,tvvbg.wam,EARTHQ,LAVA,PRESS,STONE,-,1,280000
2635099,2021-May-31 03:50:45,4y4qy.wam,AIR,COAL,FIRE,LAVA,-,1,340000
2634841,2021-May-31 03:42:48,teubg.wam,PLANT,PRESS,STEAM,STEAM,-,1,280000
2634811,2021-May-31 03:42:07,4y4qy.wam,COAL,LAVA,LAVA,STEAM,-,1,400000
2634684,2021-May-31 03:36:42,ix1b4.wam,ICE,LAVA,LAVA,PRESS,-,1,550000
2634492,2021-May-31 03:32:26,unfr.wam,PLANT,PRESS,PRESS,VULCANO,-,1,730000
2634201,2021-May-31 03:25:49,rqhr4.wam,HEAT,PLANT,PRESS,SUN,-,1,850000
2634183,2021-May-31 03:25:26,cjdqu.wam,EARTH,GEYSER,PLANT,PRESS,-,1,400000
2633932,2021-May-31 03:20:06,haer.wam,COAL,EXPLOSN,PRESS,PRESS,-,1,670000
2633867,2021-May-31 03:17:47,4y4qy.wam,AIR,COAL,FIRE,HEAT,-,1,340000
2633581,2021-May-31 03:04:49,pvxr.wam,GEYSER,HEAT,PLANT,PRESS,-,1,430000
2633523,2021-May-31 03:02:45,4y4qy.wam,COAL,EARTH,HEAT,STEAM,-,1,370000
2633372,2021-May-31 02:56:39,unfr.wam,PLANT,PLANT,PLANT,VULCANO,-,1,970000
2633225,2021-May-31 02:50:47,2gpbk.wam,ENERGY,PLANT,PRESS,WATER,-,1,250000
2633179,2021-May-31 02:49:52,tyzrc.wam,ENERGY,ENERGY,STONE,STONE,-,1,280000
2633101,2021-May-31 02:48:38,bnlb.wam,FIRE,FIRE,FIRE,WIND,-,1,160000
2632870,2021-May-31 02:41:53,unfr.wam,GEYSER,LAVA,LAVA,VULCANO,-,1,760000
2632772,2021-May-31 02:39:51,1v1qw.wam,AIR,EARTH,MCRSCP,WATER,-,1,2890000
2632565,2021-May-31 02:32:11,unfr.wam,GEYSER,PLANT,PRESS,PRESS,-,1,430000
